id,version,date,business_line,products,plan_id,plant_cedis,address,country,group,latittude,longitude,articles,units,unit cost,income,admin_costs,production_costs
2,Actual,2017.Jan,Dairy,Cheese,CO02,CEDIS  | Samalayuca ,FK11 7ES,México,CEDIS,-106.48,31.342,1,"58,200",£1.62,"-£157,479","£26,465","£67,961"
3,Actual,2017.Jan,Dairy,Cheese,CO03,CEDIS  | Chihuahua,HG3 2NN,México,CEDIS,-106.069099,28.632996,1,"39,700",£1.85,"-£71,229","£30,653","£42,682"
4,Actual,2017.Jan,Dairy,Cheese,CO04,CEDIS | Chihuahua,WA7 1PJ,México,CEDIS,-106.089,28.635,1,"31,800",£2.27,"-£101,397","£30,358","£41,802"
5,Actual,2017.Jan,Dairy,Cheese,CO05,Plant | Juárez - Jarudo,NR5 9JA,México,Plant,-106.44333,30.373333,1,"69,100",£1.63,"-£159,616","£31,912","£80,996"
6,Actual,2017.Jan,Dairy,Cheese,CO06,Plant | Juárez - Zaragoza,BH15 2AS,México,Plant,-106.274333,30.422333,1,"29,400",£1.82,"-£49,123","£17,778","£35,649"
7,Actual,2017.Jan,Dairy,Butter and margarine,CO01,CEDIS  | Ciudad Juárez,RM13 9YY,México,CEDIS,-106.48333,31.73333,1,"61,800",£1.72,"-£191,693","£19,919","£86,150"
8,Actual,2017.Jan,Dairy,Butter and margarine,CO02,CEDIS  | Samalayuca ,FK11 7ES,México,CEDIS,-106.48,31.342,1,"57,200",£1.89,"-£171,106","£34,086","£74,027"
9,Actual,2017.Jan,Dairy,Butter and margarine,CO03,CEDIS  | Chihuahua,HG3 2NN,México,CEDIS,-106.069099,28.632996,1,"35,700",£2.29,"-£70,561","£33,886","£47,772"
10,Actual,2017.Jan,Dairy,Butter and margarine,CO04,CEDIS | Chihuahua,WA7 1PJ,México,CEDIS,-106.089,28.635,1,"25,300",£2.95,"-£98,812","£22,271","£52,445"
11,Actual,2017.Jan,Dairy,Butter and margarine,CO05,Plant | Juárez - Jarudo,NR5 9JA,México,Plant,-106.44333,30.373333,1,"39,200",£3.48,"-£182,374","£23,447","£113,105"
12,Actual,2017.Jan,Dairy,Butter and margarine,CO06,Plant | Juárez - Zaragoza,BH15 2AS,México,Plant,-106.274333,30.422333,1,"12,400",£3.22,"-£41,691","£14,212","£25,724"
13,Actual,2017.Jan,Breakfast and cereal,Cereal,CO01,CEDIS  | Ciudad Juárez,RM13 9YY,México,CEDIS,-106.48333,31.73333,1,"42,700",£2.59,"-£143,914","£32,501","£77,911"
14,Actual,2017.Jan,Breakfast and cereal,Cereal,CO02,CEDIS  | Samalayuca ,FK11 7ES,México,CEDIS,-106.48,31.342,1,"53,000",£2.35,"-£170,306","£35,210","£89,519"
15,Actual,2017.Jan,Breakfast and cereal,Cereal,CO03,CEDIS  | Chihuahua,HG3 2NN,México,CEDIS,-106.069099,28.632996,1,"23,200",£2.76,"-£61,703","£29,947","£34,066"
16,Actual,2017.Jan,Breakfast and cereal,Cereal,CO04,CEDIS | Chihuahua,WA7 1PJ,México,CEDIS,-106.089,28.635,1,"21,000",£2.19,"-£52,838","£15,978","£30,061"
17,Actual,2017.Jan,Breakfast and cereal,Cereal,CO05,Plant | Juárez - Jarudo,NR5 9JA,México,Plant,-106.44333,30.373333,1,"69,000",£2.01,"-£122,691","£24,146","£114,746"
18,Actual,2017.Jan,Breakfast and cereal,Cereal,CO06,Plant | Juárez - Zaragoza,BH15 2AS,México,Plant,-106.274333,30.422333,1,"23,200",£1.79,"-£42,288","£14,563","£26,899"
19,Actual,2017.Jan,Breakfast and cereal,Granola,CO01,CEDIS  | Ciudad Juárez,RM13 9YY,México,CEDIS,-106.48333,31.73333,1,"66,200",£2.27,"-£252,396","£42,147","£107,814"
20,Actual,2017.Jan,Breakfast and cereal,Granola,CO02,CEDIS  | Samalayuca ,FK11 7ES,México,CEDIS,-106.48,31.342,1,"52,500",£2.41,"-£162,567","£31,354","£95,325"
21,Actual,2017.Jan,Breakfast and cereal,Granola,CO03,CEDIS  | Chihuahua,HG3 2NN,México,CEDIS,-106.069099,28.632996,1,"24,500",£2.05,"-£47,371","£23,378","£26,877"
22,Actual,2017.Jan,Breakfast and cereal,Granola,CO04,CEDIS | Chihuahua,WA7 1PJ,México,CEDIS,-106.089,28.635,1,"28,400",£2.21,"-£59,988","£26,321","£36,318"
23,Actual,2017.Jan,Breakfast and cereal,Granola,CO05,Plant | Juárez - Jarudo,NR5 9JA,México,Plant,-106.44333,30.373333,1,"56,100",£1.48,"-£120,735","£24,466","£58,351"
24,Actual,2017.Jan,Breakfast and cereal,Granola,CO06,Plant | Juárez - Zaragoza,BH15 2AS,México,Plant,-106.274333,30.422333,1,"27,300",£2.21,"-£53,097","£15,570","£44,888"
25,Actual,2017.Jan,Breakfast and cereal,Pancakes,CO01,CEDIS  | Ciudad Juárez,RM13 9YY,México,CEDIS,-106.48333,31.73333,1,"82,300",£1.95,"-£201,837","£28,971","£131,124"
26,Actual,2017.Jan,Breakfast and cereal,Pancakes,CO02,CEDIS  | Samalayuca ,FK11 7ES,México,CEDIS,-106.48,31.342,1,"62,600",£2.59,"-£201,496","£36,274","£125,738"
27,Actual,2017.Jan,Breakfast and cereal,Pancakes,CO03,CEDIS  | Chihuahua,HG3 2NN,México,CEDIS,-106.069099,28.632996,1,"21,600",£3.12,"-£73,461","£23,929","£43,380"
28,Actual,2017.Jan,Breakfast and cereal,Pancakes,CO04,CEDIS | Chihuahua,WA7 1PJ,México,CEDIS,-106.089,28.635,1,"26,700",£2.77,"-£113,540","£27,099","£46,953"
29,Actual,2017.Jan,Breakfast and cereal,Pancakes,CO05,Plant | Juárez - Jarudo,NR5 9JA,México,Plant,-106.44333,30.373333,1,"34,400",£2.78,"-£107,320","£26,078","£69,452"
